업체명,모델명,연료,도심주행연비,고속도로연비
현대,"G80(PE) 2.5T-GDI RWD 18"" (nC)",휘발유,9,13.5
현대,"G80(PE) 2.5T-GDI RWD 18"" (C)",휘발유,9,13.4
현대,"G80(PE) 2.5T-GDI AWD 20""(올시즌)",휘발유,8.1,12
현대,"G80(PE) 2.5T-GDI AWD 20""(썸머)",휘발유,8,12
현대,"G80(PE) 2.5T-GDI AWD 19""",휘발유,8.3,12
현대,"G80(PE) 2.5T-GDI AWD 18"" (nC)",휘발유,8.5,12.5
현대,"G80(PE) 2.5T-GDI AWD 18"" (C)",휘발유,8.3,12
현대,G80(PE) 3.5T-GDI RWD 20“(올시즌),휘발유,7.6,11
현대,G80(PE) 3.5T-GDI RWD 20“(썸머),휘발유,7.4,11
현대,"G80(PE) 3.5T-GDI RWD 19""",휘발유,7.6,11.7
현대,G80(PE) 3.5T-GDI AWD 20“(올시즌),휘발유,7.1,10.2
현대,G80(PE) 3.5T-GDI AWD 20“(썸머),휘발유,7.1,10.2
현대,"G80(PE) 3.5T-GDI AWD 19""",휘발유,7.2,10.1
랜드로버,더 뉴 레인지로버 P615 SV,휘발유,6.7,9.6
아우디,A7 55 TFSI e quattro,전기+휘발유,14.5,16.8
아우디,Q4 45 e-tron,전기,5,4.3
벤틀리,Continental GT S,휘발유,6.4,9
아우디,Q4 Sportback 45 e-tron,전기,5,4.3
마세라티,마세라티 그란카브리오 트로페오,휘발유,6.9,10.4
볼보,볼보 S90T8 AWD,전기+휘발유,18,18.5
포르쉐,파나메라 4,휘발유,7.2,9.4
아우디,Q7 45 TDI quattro,경유,9.5,12.6
아우디,Q7 50 TDI quattro,경유,9.4,12.4
아우디,Q8 45 TDI quattro,경유,9.4,11.9
아우디,Q8 50 TDI quattro,경유,9.1,11.7
아우디,Q8 55 TFSI quattro,휘발유,7.3,9.2
현대,코나 일렉트릭(N-Line) 19인치,전기,5.1,4.3
포르쉐,파나메라 4 (5인승),휘발유,7.2,9.4
벤츠,Mercedes-Benz S 500 4MATIC,휘발유,8.3,11.4
현대,GV80 e-S/C 3.5T-GDI 20인치(nC),휘발유,7.4,9.8
벤츠,Mercedes-Benz S 450 4MATIC ,휘발유,8.5,11.9
현대,GV80 e-S/C 3.5T-GDI 20인치(C),휘발유,7.3,9.6
현대,GV80 e-S/C 3.5T-GDI 22인치,휘발유,7.3,9.3
벤츠,Mercedes-Benz E 200 ,휘발유,10.6,15.7
벤츠,Mercedes-AMG GT 43 4MATIC + ,휘발유,7.9,10.2
벤츠,Mercedes-Benz E 450 4MATIC,휘발유,8.9,13.4
벤츠,Mercedes-Benz CLE 450 4MATIC Coupe,휘발유,9.3,13.6
